permalink,name,homepage_url,category_code, funding_total_usd ,status,country_code,state_code,region,city,funding_rounds,founded_at, founded_month ,founded_quarter,founded_year,first_funding_at,last_funding_at,last_milestone_at,overview,tag_list,image1,image2,image3,number_of_employees,office_latitude,office_longitude
/company/the-luxury-closet,The Luxury Closet,http://www.theluxurycloset.com,ecommerce,"1,095,000",operating,ARE,,Dubai,Dubai,2,12/31/07, 2012-01 ,2012-Q1,2012,1/11/09,2/28/09,7/27/09,,,,,,,,
/company/the-luxury-club,The Luxury Club,http://www.huisheshangcorp.com,fashion,,closed,,,unknown,,1,12/31/05, 2010-01 ,2010-Q1,2010,9/25/07,9/25/07,,,,,,,,,
/company/the-mad-video,The Mad Video,http://themadvideo.com,photo_video,"1,540,944",operating,USA,CA,SF Bay,San Franciso,2,12/31/06, 2011-01 ,2011-Q1,2011,5/22/08,11/17/09,3/18/09,,,,,,,,
/company/the-mark-news,The Mark News,http://www.themarknews.com,news,,operating,CAN,,Toronto,Toronto,1,,,,,2/7/06,2/7/06,,,,,,,,,
/company/the-matlet-group,The Matlet Group,http://thematletgroup.com,software,"8,500,000",operating,USA,RI,Pawtucket,Pawtucket,1,11/30/01, 2005-12 ,2005-Q4,2005,10/23/09,10/23/09,5/31/04,,,,,,,,
/company/the-melt,THE MELT,http://themelt.com,hospitality,,operating,USA,CA,SF Bay,San Francisco,2,12/31/04, 2009-01 ,2009-Q1,2009,3/24/07,5/31/07,,,,,,,,,
/company/the-minerva-project,The Minerva Project,http://www.minervaproject.com,education,"25,000,000",operating,USA,CA,SF Bay,San Francisco,1,,,,,4/2/08,4/2/08,4/21/09,,,,,,,,
/company/the-mother-list,The Mother List,http://themotherlist.com,ecommerce,,operating,USA,CO,Denver,Denver,1,,,,,6/19/07,6/19/07,,,,,,,,,
/company/the-motley-fool,The Motley Fool,http://fool.com,finance,"25,000,000",operating,USA,VA,Washington DC,Alexandria,1,6/30/89, 1993-07 ,1993-Q3,1993,10/31/05,10/31/05,,,,,,,,,
/company/the-multiverse-network,The Multiverse Network,http://www.multiverse.net,games_video,"11,600,000",operating,USA,CA,SF Bay,Mountain View,4,6/30/00, 2004-07 ,2004-Q3,2004,4/16/03,1/11/05,,,,,,,,,
/company/the-muse,The Muse,http://www.themuse.com,web,"2,200,000",operating,USA,NY,New York,New York,2,8/31/07, 2011-09 ,2011-Q3,2011,1/21/09,2/3/10,2/3/10,,,,,,,,
/company/the-mutual-fund-store,The Mutual Fund Store,http://www.mutualfundstore.com,,,acquired,USA,KS,Kansas City,Overland Park,1,12/31/91, 1996-01 ,1996-Q1,1996,2/16/02,2/16/02,,,,,,,,,
/company/the-naked-song,The Naked Song,http://www.thenakedsong.com,music,"200,000",operating,AUS,,West Perth,West Perth,1,12/31/07, 2012-01 ,2012-Q1,2012,12/31/07,12/31/07,12/31/08,,,,,,,,
/company/the-neat-company,The Neat Company,http://www.neat.com,software,"15,550,000",operating,USA,PA,Philadelphia,Philadelphia,3,12/31/97, 2002-01 ,2002-Q1,2002,8/13/02,6/22/06,6/25/09,,,,,,,,
/company/the-nest-collective,The Nest Collective,,,"500,100",operating,USA,CA,SF Bay,Emeryville,1,12/31/02, 2007-01 ,2007-Q1,2007,12/31/07,12/31/07,,,,,,,,,
/company/the-new-craftsmen,The New Craftsmen,http://www.thenewcraftsmen.com,ecommerce,"300,000",operating,GBR,,London,London,1,,,,,4/12/08,4/12/08,,,,,,,,,
/company/the-new-forests-company,The New Forests Company,http://www.newforestscompany.com,cleantech,"8,500,000",closed,GBR,,London,London,1,,,,,9/28/04,9/28/04,,,,,,,,,
/company/the-new-hive,The New Hive,http://newhive.com,news,,operating,USA,CA,SF Bay,San Francisco,1,,,,,9/12/08,9/12/08,,,,,,,,,
/company/the-new-motion,The New Motion,http://www.thenewmotion.com,cleantech,,operating,NLD,,Amsterdam,Amsterdam,4,9/2/05, 2009-09 ,2009-Q3,2009,12/31/04,12/31/08,5/31/09,,,,,,,,
/company/the-news-funnel,The News Funnel,http://www.thenewsfunnel.com,real_estate,"4,000,000",operating,USA,NJ,TBD,Bernardsville,2,12/31/06, 2011-01 ,2011-Q1,2011,8/8/08,1/14/10,8/4/09,,,,,,,,
/company/the-news-lens,The News Lens,http://www.thenewslens.com,news,,operating,TWN,,Taipei,Taipei,1,7/31/09, 2013-08 ,2013-Q3,2013,12/10/09,12/10/09,7/31/09,,,,,,,,
/company/the-newsmarket,The NewsMarket,http://www.thenewsmarket.com,web,"4,300,000",operating,USA,NY,New York,New York,1,12/31/95, 2000-01 ,2000-Q1,2000,10/6/05,10/6/05,12/31/00,,,,,,,,
/company/the-nocklist,THE NOCKLIST,http://nocklist.wordpress.com,ecommerce,"300,000",operating,USA,HI,Honolulu,Honolulu,1,7/31/97, 2001-08 ,2001-Q3,2001,12/31/98,12/31/98,7/31/97,,,,,,,,
/company/the-north-alliance,The North Alliance,http://thenorthalliance.com,,,operating,,,unknown,,1,,,,,1/20/10,1/20/10,,,,,,,,,
/company/the-ogara-group,The O'Gara Group,http://www.ogaragroup.com,security,"23,000,000",operating,USA,OH,Cincinnati,Cincinnati,1,,,,,6/6/07,6/6/07,,,,,,,,,
/company/the-one-world-doll-project,The One World Doll Project,http://oneworlddolls.com,transportation,"500,000",operating,,,unknown,,1,12/31/05, 2010-01 ,2010-Q1,2010,3/20/10,3/20/10,,,,,,,,,
/company/the-one-page-company,The One-Page Company,http://www.1-page.com,software,"1,800,000",operating,USA,CA,SF Bay,San Francisco,2,1/31/08, 2012-02 ,2012-Q1,2012,3/31/08,7/9/09,6/30/09,,,,,,,,
/company/the-online-401,The Online 401,http://theonline401k.com,nonprofit,"955,211",operating,USA,CA,SF Bay,San Francisco,1,12/31/94, 1999-01 ,1999-Q1,1999,9/27/07,9/27/07,,,,,,,,,
/company/the-online-backup-company,The Online Backup Company,http://www.onlinebackupcompany.com,network_hosting,"8,423,293",operating,NOR,,Oslo,Oslo,1,11/10/01, 2005-11 ,2005-Q4,2005,12/14/07,12/14/07,7/31/05,,,,,,,,
/company/optima,The Optima,http://www.theoptimacorporation.com,software,"1,200,000",operating,NZL,,Parnell Auckland,Parnell Auckland,1,12/31/93, 1998-01 ,1998-Q1,1998,1/31/02,1/31/02,,,,,,,,,
/company/the-orange-chef,The Orange Chef,http://theorangechef.com,hardware,"3,000,000",operating,USA,CA,SF Bay,San Francisco,1,3/31/07, 2011-04 ,2011-Q2,2011,2/6/10,2/6/10,2/6/10,,,,,,,,
/company/the-original-soupman,The Original SoupMan,http://originalsoupman.com,other,"5,711,500",operating,USA,NY,New York,Staten Island,2,12/31/79, 1984-01 ,1984-Q1,1984,1/12/06,8/14/07,,,,,,,,,
/company/the-other-guys,The Other Guys,http://www.other-guys.com,games_video,"25,000",operating,,,unknown,,1,12/31/07, 2012-01 ,2012-Q1,2012,7/31/08,7/31/08,8/31/09,,,,,,,,
/company/the-otherland-group,The Otherland Group,http://otherland-group.com,web,"125,000",operating,DEU,,Berlin,Berlin,2,12/31/02, 2007-01 ,2007-Q1,2007,2/27/09,3/6/09,4/6/09,,,,,,,,
/company/the-parkmead-group,The Parkmead Group,http://www.parkmeadgroup.com,other,"66,000,000",operating,GBR,,Aberdeen,Aberdeen,1,,,,,1/27/10,1/27/10,,,,,,,,,
/company/the-payments-company,The Payments Company,http://thepaymentscompany.com,finance,,operating,USA,VT,SF Bay,Richmond,1,,,,,1/5/10,1/5/10,,,,,,,,,
/company/the-personal-bee,The Personal Bee,,news,"500,000",operating,USA,CA,SF Bay,Berkeley,1,,,,,3/7/02,3/7/02,,,,,,,,,
/company/the-pickwick-project,The Pickwick Project,http://www.thepickwickproject.be,public_relations,"144,060",operating,BEL,,Waregem,Waregem,1,3/29/03, 2007-03 ,2007-Q1,2007,12/31/05,12/31/05,,,,,,,,,
/company/the-pocket-agency,The Pocket Agency,http://www.thepocketagency.com,mobile,,operating,GBR,,London,LONDON,1,5/13/05, 2009-05 ,2009-Q2,2009,12/31/05,12/31/05,,,,,,,,,
/company/the-point,The Point,http://www.thepoint.com,web,"7,300,000",closed,USA,IL,Chicago,Chicago,2,,,,,10/31/03,1/31/04,12/1/05,,,,,,,,
/company/the-political-student,The Political Student,http://thepoliticalstudent.com,web,"1,000",operating,USA,CA,SF Bay,Saratoga,1,6/30/08, 2012-07 ,2012-Q3,2012,12/31/07,12/31/07,,,,,,,,,
